Abbott, Mary
Haydon, Colin M.
Hayes, J.F.
Hayes, Nick
Hayes, Paul M.
Hayes, P.M.
Haynes, John
Hayton, David W.
Hayward, Jack E.S.
Hayward, Maria A.
Hayward, Paul
Hayward, Rhodri
Headlam-Morley, Agnes
Heady, C.J.
Heale, Michael J.
Heale, M.J.
Healey, J.F.
Heal, Felicity
Heal, Felicity M.
Heal, F.M.
Healy, J. F.
Healy, Róisín
Hearder, H.
Heard, N.
Heath, A.F.
Heather, Peter
Heather, Peter J.
Heath, P.
Hebbert, M.J.
Heelas, Paul
Heesom, A.J.
Heesom, Alan J.
Heesom, P.A.J.
Hefferman, Mike
Heffernan, Michael J.
Heffernan, Mike
Hemingway, A.
Hemingway, Andrew F.
Hempstead, C.A.
Hempton, David N.
Hempton, D.N.
Hemstedt, G.C.
Henderson, G.D.S.
Henderson, I.
Henderson, J.G.W.
Henderson, Paul
Hendrick, Harry J.
Hendry, D.F.
Hendy, M. F.
Hendy, M.F.
Henig, Rugh B.
Henig, Ruth B.
Hennessey, Thomas
Hennessy, C.A.M.
Hennessy, Peter
Hennessy, Peter J.
Hennock, E.P.
Henriques, Ursula   R.Q.
Henriques, Ursula R.Q.
Hepburn, A.C.
Hepurn, Anthony C.
Herrmann, L.J.
Hertzig, Edmund
Hessayon, Ariel
Hesse, Joachim J.
Hesse, M.B.
Heuman, Gad
Heuman, Gad J.
Hey, David G.
Hey, D.G.
Heywood, C.J.
Heywood, C.M.
Heywood, Colin M.
Hibawi, A.L.
Hickman, Tim
Hickox, M.
Hicks, Michael A.
Hiden, John
Hiden, John W.
Hiden, J.W.
Higgins, D.A.
Higginson, Ian
Higgs, Edward
Higgs, Edward J.
Higgs, M.S.
Higham, Nicholas
Higham, Nicholas J.
Higham, N.J.
Higham, R.A.
Highfield, J.R.L.
Hill, Brian W.
Hill, B.W.
Hill, C.
Hill, Christopher
Hill, Christopher J.
Hill, D.
Hillenbrand, Carole
Hilling, D.
Hill, J.
Hill, Jacqueline
Hill, J.E.C.
Hill, Jeff
Hill, R.
Hill, Rosalind M. T.
Hill, Rosalind M.T.
Hills, Catherine M.
Hills, C.M.
Hills, Paul
Hilson, Mary
Hilton, A.J.B.
Hilton, A.J. Boyd
Hilton, Matthew
Hilton, R.A.
Hilton, R.H.
Hilton, Rodney H.
Hinchcliff, P.B.
Hinchliff, P. B.
Hinchliff, P.B.
Hinchliff, Peter B.
Hind, J.G.F.
Hind, John G.F.
Hindle, Steve
Hindle, Steven
Hindley, B.V.
Hinds, G.M.
Hinds, Peter
Hinings, C.R.
Hinsley, F.H,
Hinsley, F.H.
Hinsley, H.
Hinsley, Harry
Hinton, D.A.
Hinton, David
Hinton, James S.
Hinton, J.S.
Hipkin, Stephan A.
Hipkin, Stephen A.
Hirsch, Pam
Hirst, D. Michael G.
Hirst, Paul Q.
Hirst, P.Q.
Hitchcock, Tim
Hitchcock, Timothy V.
Hoare, J.
Hobcraft, J.
Hobcraft, J.N.
Hobsbawm, E.J.
Hobsbawm, E.J.E.
Hodder, B.W.
Hodder, I.R.
Hodges, M.R.
Hodges, Sarah
Hodgett, G.A.J.
Hodgkin, T.L.
Hodkinson, S.J.
Hodson, F.R.
Hogg, G.W.
Hohler, E.C.
Holden Reid, Brian
Holderness, B.A.
Holdsworth, C.J.
Holladay, D.J.
Holland, C.A.
Holland, P.D.
Holland, Robert
Holland, Robert F.
Hollenweger, W.
Hollingsworth, T.
Hollinshead, Janet E.
Hollis, Patricia   L.
Hollis, Patricia L.
Holloway, G.I.
Holmes, Andrew
Holmes, Andrew R.
Holmes, B.
Holmes, C.
Holmes, C.A.
Holmes, Catherine
Holmes, Catherine J.
Holmes, Clive
Holmes, Clive A.
Holmes, Colin
Holmes, G.A.
Holmes, George A.
Holmes, G.S.
Holmes, Janice
Holt, James
Holt, J.C.
Holton, David
Holton, R.J.
Holt, P.M.
Holt, Richard
Holt, R.J.
Honeybone, R.C.
Honey, J.
Honeyman, Katrina
Honey, P.J.
Honore, A.M.
Hont, I.
Hont, Istvan
Hood, A.
Hood, A.B.E.
Hood, Christopher
Hood, R.G.
Hope, C.A.
Hope, Charles
Hope, Charles A.
Hope, Nicholas M.
Hope, N.M.
Hope - Taylor, B.K.
Hopkin, David M.
Hopkin, D.R.
Hopkins, A.G.
Hopkins, Antony G.
Hopkins, David
Hopkins, J. F. P.
Hopkins, J.F.P.
Hopkins, M.K.
Hoppen, K.T.
Hopper, Andrew J.
Hopper, R. J.
Hoppit, J.
Hoppit, Julian
Hopwood, A.G.
Hopwood, D.
Hopwood, Derek
Hopwood, Nick D.
Horbury, W.
Horden, J.N. Peregrine B.
Horlock, D.
Hornblower, N.S.R.
Hornblower, Simon
Horner, Craig
Horn, Gerd-Rainer
Horning, Audrey
Horn, J.P.P.
Horobin, Simon
Horrocks, Sally
Horrox, Rosemary E.
Horton, Ian
Hosking, G.A.
Hoskin, M.A.
Hoskins, Philippa
Hoskins, W.G.
Hotson, H.N.
Hotson, Howard
Houlbrooke, R.A.
Houlbrooke, Ralph A.
Houlbrook, Matt
Houlbrook, Matthew
Hourani, A,.H.
Hourani, A. H.
Hourani, A.H.
Housden, Martyn
House, John
House, John P.H.
House, J.P.H.
Housley, N.J.
Housley, Norman J.
Houston, R.A.
Houston, Robert A.
Howard, C.H.D.
Howard, D.J.
Howard, I. K. A.
Howard, I.K.A.
Howard, John
Howard-Johnson, J.D.
Howard-Johnston, James D.
Howard - Johnston, J. D.
Howard-Johnston, J.D.
Howard, M.
Howard, Maurice
Howard, M.E.
Howard, Michael
Howarth, D.J.
Howarth, J.
Howarth, Janet
Howarth, Janet H.
Howarth, J.H.
Howe, A.C.
Howe, Anthony C.
Howe, C.B.
Howe, Danel W.
Howe, Daniel W.
Howe, John R.
Howell, D.
Howell, David
Howell, David W.
Howell, D.W.
Howells, B.E.
Howe, W.J.
Howgego, Christopher
Howgego, Christopher J.
Howkins, A.J.
Howkins, Alun J.
Howkins, Alun John
Howkins, M.J.
Howlett, Darryl
Howlett, Jana R.
Howlett, Peter
Hoyland, Robert
Hoyle, Richard W.
Hudson, A.M.
Hudson, G.F.
Hudson, John G.H.
Hudson, John J.G.
Hudson, Patricia
Huff, Gregg
Hufton, Olwen
Hufton, Olwen H.
Huggett, Jeremy W.
Huggins, Michael
Hughes, A.
Hughes, Ann
Hughes, Annemarie
Hughes, Ann L.
Hughes, Annmarie
Hughes, C.J.
Hughes, D.J.
Hughes, Eamonn
Hughes, G.A.
Hughes, Jeff A.
Hughes, Jefff A.
Hughes, Lindsey A.J.
Hughes, M.
Hughes, P.
Hugman, Joan
Hume, J.R.
Humes, W.M.
Humphrey, Caroline
Humphreys, D.W.
Humphreys, R.A.
Humphreys, Sarah   C.
Humphreys, Sarah  C.
Humphreys, Sarah C.
Humphries, Jane
Humphries, K.J.
Humphries, K. Jane
Hunnisett, R.F.
Hunt, E.D.
Hunt, E.H.
Hunter, Emma
Hunter, Janet E.
Hunter, Michael C.W.
Hunter, Richard
Hunt, J.
Hunt, Karen
Hunt, N.C.
Hunt, R.W.
Huray, P.G. Le
Hurrell, A.J.
Hurrell, Andrew J.
Hurstfield, J.
Hurstfield, J.G.
Hurst, P.
Hurt, J.S.
Husbands, C.T.
Hussey, David
Hussey, Joan M.
Hussey, S.
Hussey, Stephen
Hutchinson, Paul
Hutchison, H.
Hutchison, Iain G.C.
Hutchison, I.G.C.
Hutchison, I.G.S.
Huttenberger, P.
Hutton, R.E.
Hutton, Ronald E.
Hyam, R.
Hyam, Roland
Hyams, P.R.
Hyde, F.E.
Hyde, J. K.
Hynes, Sandra
Ibbetson, D.J.
Ickringill, Stephen J.S.
Iles, C.
Ilic, M.
Ilic, Melanie
Ilic, Melanie J.
Iliffe, J.
Iliffe, John
Iliffe, Robert
Iliffe, Robert C.
Imber, C.
Imber, Colin H.
Ing, Catherine M.
Ingham, K.
Ingram, D.R.
Ingram, Martin J.
Innes, Joanna
Innes, Joanna  M.
Innes, Joanna M.
Iredale, J.
Ireland, R.I.
Irvine, A.K.
Isaac, B.
Israel, Jonathan I.
Isserlin, B.S.J.
Ives, Eric W.
Ives, E.W.
Jack, I.R.J.
Jack, M.A.
Jackson, A. H.
Jackson, A.H.
Jackson, Ben
Jackson, Benjamin
Jackson, E.F.
Jackson, G.
Jackson, Gordon
Jackson, J. Clare L.
Jackson, Julian T.
Jackson, Mark
Jackson, Mark A.
Jackson, Michelle
Jackson, P.
Jackson, T.A.
Jackson, T. Alvin
Jackson, Will
Jacob, I.H.
Jacobs, Jonathan
Jacyna, Stephen
Jaffe, A.M.
Jahn, Hubertus F.
James, Alan
James, A.M.
James, E.
James, E.A.
James, E.D.
James, Edward F.
James, E.F.
James, Elizabeth A.
James, H.
James, M.E.
James, Simon
James, Simon T.
James, T.
James, T.B.
James, Thomas B.
James, Tom Beaumont
James, W.R.
Jamroziak, Emilia M.
Janku, Andrea
Jardine, N.
Jarrett, Jonathan
Jarvis, Adrian
Jarvis, David A.
Jarvis, P.J.
Jasper, R.C.D.
Jedlicki, J.
Jefferies, Tom
Jeffery, Keith
Jeffery, Keith J.
Jeffery, K.J.
Jeffery, Lilian R.
Jefferys, Kevin
Jeffrey, Keith J.
Jeffreys, Elizabeth M.
Jeffreys-Jones, R.
Jeffreys-Jones, Rhodri
Jeffreys, M.
Jeffries, P.J.
Jeffs, R.M.
Jenkins, D.
Jenkins, David
Jenkins, E.W.
Jenkins, G.H.
Jenkins, Keith W.
Jenkinson, Jacqueline L.M.
Jenner, Mark
Jenner, Mark S.R.
Jenner, W.J.F.
Jennings, Paul
Jensen, Olaf
Jerram, Leif
J. H. Bird
Jobey, G.
Jobling, R.G.
John, A. H.
John, A.H.
John, Angela V.
John, A.V.
John, David S.
John, E.
Johnes, Martin O.
John, I.G.
Johnman, Lewis
John, Michael F.
John, S.B.
Johns, J.
Johns, Jeremy
Johnson, A.M.
Johnson, Anthony M.
Johnson, David S.
Johnson, D.S.
Johnson, D.T.
Johnson, D. W. J.
Johnson, D.W.J.
Johnson, G.
Johnson, Geraldine
Johnson, Geraldine A.
Johnson, Gordon
Johnson, J.R.B.
Johnson, Julian
Johnson, Marion
Johnson, Matthew H.
Johnson, N.
Johnson, P.A.
Johnson, Paul A.
Johnson, Robert
Johnson, R.W.
Johnson, Trevor R.
Johns, Richard
Johnston, Edith M.
Johnstone, H.D.
Johnston, Elva
Johnston, J.
Johnston, Ronald
Johnston, Stephen
Joll, J.B.
Jone, D.J.V.
Jones, A.
Jones, A.G.
Jones, Aled G.
Jones, A.V.
Jones, Bill
Jones, B.L.
Jones, C.
Jones, Catherine J.
Jones, C.D.H.
Jones, Cecily
Jones, Charles
Jones, Charles A.
Jones, Colin
Jones, Colin D.H.
Jones, David Ceri
Jones, D.H.
Jones, D.J.V.
Jones, D.K.
Jones, D.W.
Jones, E.
Jones, Emrys L.
Jones, G.
Jones, Gareth Stedman
Jones, G.D.
Jones, G. D. B
Jones, G. D. B.
Jones, G.D.B.
Jones, G.E.
Jones, G.G.
Jones, G.L.
Jones, Greta
Jones, G.R.J.
Jones, G.S.
Jones, G. Stedman
Jones, G.   Stedman
Jones, G.     Stedman
Jones, G.T.
Jones, G.W.
Jones, Heather
Jones, Helen
Jones, H. Stuart
Jones, I.G.
Jones, J.G.
Jones, J. Gwynfor
Jones, J.R.
Jones, Karen
Jones, Katherine Duncan-
Jones, Kathleen
Jones, M.A.
Jones, Martin
Jones, Matthew
Jones, Max
Jones, Michael C.E.
Jones, Peter
Jones, Peter M.
Jones, Peter Murray
Jones, Phil
Jones, P.J.
Jones, P.M.
Jones, Polly
Jones, R.
Jones, Richard
Jones, Richard E.
Jones, Richard L.C.
Jones, R. Merfyn
Jones, Sarah R. Rees
Jones, Schuyler
Jones, Stuart
Jones, T.A.
Jones, Timothy
Jones, William
Jones, William D.
Jope, E.M.
Jordanova, Ludmilla  J.
Jordanova, Ludmilla J.
Joshi, V.R.
Joslin, D.M.
Jotischky, Andrew
Jotischsky, Andrew
Joyce, Patrick J.
Joyce, P.J.
Judd, D.
Judd, Denis O.
Judd, D.O.
Judge, H.G.
Judica, John
Judt, T.R.
Jupp, Peter J.
Jupp, P.J.
Jurica, John
Kahn, J.S.
Kahn, R.F.
Kain, R.J.P.
Kain, Roger J.P.
Kain, Roger K. P.
Kaizer, Ted
Kakabadse, Nada
Kallis, Aristotle
Kamminga, H.
Kamminga, Harmke
Kandiah, Michael D.
Kapila, Shruti
Kaplan, Benjamin J.
Kaplanoff, Mark D.
Karlin, D.
Karlin - Hayter, Patricia
Karl, Raimund
Kaser, M.C.
Kassell, Lauren
Katsari, Constantina
Katz, D.
Katzenellenbogen, S.E.
Kauffman, Claus M.
Kauffman, Martin
Kauffmann, Martin
Kavan, Z.
Kaviraj, S.
Kealey, Diana
Kean, Margaret
Keanrs, G.P.
Kearns, G.
Kearns, G.P.
Keating, John
Kedourie, E.
Kedslie, Moyra J.
Kedward, H.R.
Kedward, H. Roderick
Keeble, D.E.
Keene, Derek
Keene, Derek J.
Keene, Suzanne
Keen, Maurice H.
Keen, M.H.
Keepie, L.J.
Keep, J.L.H.
Keil, I.J.E.
Keith-Lucas, B.
Kelidar, A.R.
Keller, A.G
Keller, A.G.
Keller, Alex G.
Keller, D. McLellan and A.G.
Kelly, B.
Kelly, Brian
Kelly, Catriona
Kelly, E.
Kelly, James
Kelly, J.E.
Kelly, Jennifer
Kelly, John S.
Kelly, T.
Kelly, W.
Kelly, William
Kelsall, R.K.
Kemp, A.G.
Kemp, Betty
Kemp, B.J.
Kemp, Brian R.
Kemp, Martin
Kemp, Martin J.
Kemp, M.J.
Kempshall, Matthew
Kempshall, Matthew S.
Kenefick, William
Kennedy, D.L.
Kennedy, E.M.
Kennedy, H.N.
Kennedy, Hugh
Kennedy, Hugh N.
Kennedy, L.
Kennedy, Liam
Kennedy, Michael
Kennedy, Michael J.
Kennedy, Ruth
Kennedy, W.P.
Kent, C.J.
Kent, C. John
Kent, J.H.S.
Kent, N.L.
Kenyon, J.P.
Keogh, Daire
Keogh, Dermot
Keppie, L.
Kerler, D.-B.
Kermode, Jennifer  I.
Kermode, Jennifer I.
Kerr, David
Kerr, W.G.
Kershaw, I.
Kershaw, Ian
Kershen, Anne S.
Kerslake, Celia
Kerslake, Celia J.
Kettle, Ann J.
Keynes, S.D.
Keynes, Simon D.
Khalidi, T.
Khan, M.H.
Khong, Yuen F.
Khong, Yuen Foong
Kidambi, Prashant
Kidd, A.J.
Kidd, Alan
Kidd, Alan J.
Kidd, Colin
Kidd, Colin C.
Kidson, P.
Kiernan, V.G.
Killham, E.J.
Killingray, David
Kindersley, R.K.
Kinealy, Christine
King, Carla
King, C.E.
King, Christine  E.
King, Christine E.
King, Desmond
King, Desmond S.
King, D.S.
King, Edmund J.
King, E.J.
King, Helen
King, H.P.
King, John P.
King, P.D.
King, Peter J.R.
King, Ros
Kingsbury, B.W.
King, Stephen A.
King, Ursula M.
Kirby, David
Kirby, David G.
Kirby, Dianne
Kirby, D.P.
Kirby, Peter
Kirk-Greene, A.H.M.
Kirk, G. S.
Kirkham, P.
Kirk, J.
Kirk, James
Kirk, John
Kirk, Linda M.
Kirk, Neville
Kirk, Tim
Kirkwood, K.
Kitchen, Kenneth A.
Kitch, M.J.
Kitson-Clark, G.S.R.
Kitson, M.W.L.
Klein, Lawrence
Klein, Lawrence E.
Klein, R.E.
Klier, John D.
Knapp, A. Bernard
Knapp, Andrew
Knapp, W.F.
Knecht, R.J.
Knecht, Robert J.
Knight, Alan
Knight, Alan S.
Knight, A.S.
Knight, D.M.
Knight, Frances
Knight, Gill
Knight, J.B.
Knight, Roger
Knight, Roger J. B.
Knight, Roger J.B.
Knights, Mark
Knights, Mark J.
Knowles, C.H.
Knowles, Dudley
Knox, Macgregor
Knox, MacGregor
Knox, R.B.
Knox, R. Buick
Knox, William
Knox, William W.
Kochan, L.E.
Koch, H.W.
Koenigsberger, Dorothy M.
Koenigsberger, H.G.
Kolantiewicz, George M.
Kolbert, C.F.
Kolinsky, M.
Konishi, Sho
Korner, Axel
Körner, Axel
Kornicki, P.F.
Kramer, Alan
Kramer, M.
Kraus, C.S.
Kraye, Jill
Kraye, Jill A.
Krikler, Jeremy M.
Kuczynski, M.G.
Kuczynski, Michael G.
Kuhrt, Amelie  T.L.
Kuhrt, Amelie T.L.
Kuhrt, Amélie T.L.
Kümin, Beat
Kunt, Ibraham M.
Kunt, M.
Kurtz, D.C.
Kurtz, Donna C.
Kushner,  A.R.J. (Tony)
Kushner, A.R.J. (Tony)
Kusin, V.V.
Lacey, Nicola
Laffan, Michael
Laidlaw, J. C.
Laing, A.
Laing, L.R.
Lake, P.G.
Lambert, Andrew
Lambert, Andrew D.
Lambert, Audrey M.
Lambert, David
Lambert, Francis J.D.
Lambert, Peter A.
Lambert, W.G.
Lambton, Ann K.S.
Lamont, W.
Lamont, W.M.
Lampert, E.
Lancaster, W.
Lancaster, William
Landers, John M.
Landrus, Mallica K.
Lane, A.
Lane, A.D.
Lane, A.T.
Lane, D.S.
Lane, J.
Lane, Joan
Lane, Melissa
Lanfranchi, Pierre
Lang, D. M.
Lang, D.M.
Langford, C.M.
Langford, P.
Langford, Paul
Langhamer, Claire L.
Langhorne, H.M.
Langhorne, R.T.B.
Langley, Dan
Langslow, David
Langton, J.
Langton, John
Lannon, Frances
Lapenna, I.
Lapidge, M.
Lapidge, Michael
La Porte, Norman
Laqua, Daniel
Large, D.
Large, S.S.
Large, Stephen S.
Larkin, M.J.M.
Larmer, Miles
Lash, N.L.A.
Lasko, P.
Lasko, P.E.
Laslett, T. Peter R.
laslett, T.P.R.
Laslett, T.P.R.
Last, M.
Latham, A.J.H.
Latham, J.D.
Latham, R.C.
Laurence, E. Anne
Laurence, Ray
Lauxtermann, Marc
Lavelle, Ryan L.
Laven, David S.
Laven, Mary R.
Laven, P. J.
Laven, P.J.
Law, D.S.
Law, John
Law, John E.
Lawler, K.
Lawless, Catherine
Lawlor, Sheila M.M.
Law, R.C.C.
Lawrence, Anne E.
Lawrence, C.H.
Lawrence, Christopher J.
Lawrence, C.J.
Lawrence, G.R.P.
Lawrence, Jon
Lawrence, Jon M.
Lawrence, Paul
Lawrence, Paul M.
Law, Robin C.C.
Lawson, J.
Lawson, Tom
Lawson, Tom G.P.
Lawton, R.
Laxton, P.
Laybourn, K.
Laybourn, Keith
Layton, D.
Leach, Bridget
Leach, Elizabeth
Leach, Peter
Leask, Nigel J.
Leask, N.J.
Lederer, David
Leeder, Karen
Lee, J.M.
Lee, R.
Lee, Robert
Leese, R.
Leese, Roger
Lee, W.R.
Lee, W. Robert
Leff, G.
Leggett, Denise
Legg, Stephen
Lehmann, A.D.
Lehmann, Albert D.
Lehmann, J.-P.
Le Huray, P.G.
Leifer, M.
Leigh, L.H.
Le May, G.H.L.
Lemnitzer, Jan M.
Lemon, A.
Lemon, M.C.
Leneghan, Francis
Lenihan, Pádraig
Lenman, B.P.
Lenman, Bruce P.
Lennon, Colm
Lentin, A.
Lentin, Anthony
Lentin, Antony
Leonard, D.
Leonardi, Cherry
Leonard, J.W.
Leone, Anna
Le Patourel, J.H.
Lepper, F. A.
Lepschy, G.
Le Roux, A.A.
Le Roux, Thomas
Le Saux, Françoise
Leslie, R.F.
Lester, Alun .J.
Letwin, W.
Levene, Dan
Levene, Mark
Levick, Barbara M.
Levi, Eric
Levin, M.
Levin, P.H.
Levitt, Ian
Lewis, B.
Lewis, Christopher P.
Lewis, C.M.
Lewis, Colin M.
Lewis, C.R.
Lewis, C. Roy
Lewis, D. M.
Lewis, D.M.
Lewis, G.
Lewis, G.J.
Lewis, G.L.
Lewis, Gwynne
Lewis, H.D.
Lewis, James
Lewis, James B.
Lewis, Jane E.
Lewis, J.B.
Lewis, Jill J.
Lewis, Joanna
Lewis, Joanna E.
Lewis, Katherine J.
Lewis, L.J.
Lewis, M.E.
Lewis, Michael J.
Lewis, M.J.T.
Lewis, Peter S.
Lewis, P. S.
Lewis, P.S.
Lewis, R.
Lewis, R.A.
Lewis, R. Gillian
Lewis, Rhodri
Lewis, Richard
Lewis, Sian
Lewitter, L.R.
Leyser, C. Conrad
Leyser, Conrad
Leyser, Conrad C.
Leyser, Henrietta
Leyser, Henrietta L.V.
Leyser, K. J.
Leyser, K.J.
Leyshon, Catherine
Liddiard, Robert E.
Liddle, Joanna
Liddy, Christian D.
Lienhardt, P.A.
Lienhardt, R. G.
Lienhardt, R.G.
Lieven, D.C.B.
Lieven, Dominic
Lilley, Keith
Lillie, Amanda
Limentani, U.
Linch, Kevin
Linch, Kevin B.
Lindley, Keith J.
Lindley, K.J.
Lindop, F.
Lindop, F.J.
Lindop, Fred J.
Linehan, Peter A.
Ling, Lesley A.
Linton, Marisa
Lintott, Andrew W.
Lintott, A.W.
Lipner, J.J.
Lipner, Julius J.
Little, Jo
Littlejohn, J.
Liu, Tao Tao
Liversidge, A.V.  Antonovics     and M.J.H.
Liversidge, M.J.H.
Livesey, James
Livingstone, David N.
Llewellyn, Nigel
Llewellyn, Nigel G.
Lloyd, G.E.R.
Lloyd, H.A.
Lloyd, J.A.
Lloyd-Jones, R.
Lloyd-Jones, Roger
Lloyd, Lorna
Lloyd, P.C.
Lloyd, Sarah
Lloyd, S.D.
Lloyd, T.H.
Loach, S. Jennifer
Loach, S.  Jennifer
Loades, David M.
Loades, D.M.
Lockhouse, M.
Lockley, Tim
Lockley, Tim J.
Lock, Peter
Lockyer, R.W.
Loewe, M.A.N.
Loftus, Donna
Logan, John
Loizos, P.
Lomas, R.A.
Lomas, Richard A.
Lombardi, Elena
Longley, David A.
Longmore, Jane
Lonsdale, J.M.
Lonsdale, John M.
Loon, P. van der
LoPrete, Kimberly
Loseby, Simon
Loseby, Simon T.
Losseff, Nicola
Loud, G.A.
Loud, Graham
Loud, Graham A.
Loudon, I.S.
Lough, J.
Loughlin, J.
Loughlin, James
Loughlin, James P.
Louth, A.
Louth, Andrew
Lovatt, Roger W.
Lovatt, R.W.
Lovegrove, D.W.
Lovell, J.C.
Lovell, John C.
Lovell, Stephen
Love, Rosalind
Lo, Vivienne
Low-Beer, A.
Low-Beer, Ann
Low, D.A.
Lowden, John H.
Lowder, S.
Lowe, D.A.
Lowe, H.D.
Lowe, J.
Lowe, Kate
Lowe, Kate J.P.
Lowenthal, D.
Lowe, P.C.
Lowe, Peter C.
Lowe, R.
Lowe, R.A.
Lowe, R.C.
Lowe, Rodney
Lowe, Roy A.
Lowerson, John R.
Lowerson, John Ridley
Lowerson, J.R.
Low, Polly
Lowrey, J.P.
Lowry, Martin
Lowry, M.J.C.
Lowy, S.
Loyn, Brenda M. Bolton and H.R.
Loyn, H.R.
Lubasz, H.M.
Lubbock, Jules
Lubelska, Catherine E.
Lucas, C.R.
Lucas, N.
Luckett, R.
Luckin, W.
Luddy, Maria
Ludlow, N. Piers
Ludlow, P.W.
Luft, P.
Lukes, S.M.
Lund, H.
Lunn, Kenneth J.
Lunn, K.J.
Luscombe, David E.
Luscombe, D.E.
Lutton, Rob
Lyall, F.
Lynch, Derek
Lynch, J.
Lynch, John
Lynch, M.
Lynch, Michael
Lyon, Peter H.
Lyon, P.H.
Lyons, F.S.L.
Lythe, S.G.E.
Lyttelton, N.A.O.
Lyttleton, N.A.O.
Mabro, R.E.
Macartney, C.A.
Macaulay, James
MacBeth, A.M.
MacCulloch, D.
MacDonal, Alan
Macdonald, A.J.
Macdonald, Alastair
Macdonald, Alistair J.
MacDonald, C.A.
MacDonald, Callum A.
Macdonald, Catriona M.M.
Macdonald, D.F.
MacDonald, J.H.
MacDonald, K.D.
MacDonald, M.E.
MacDonald, M.V.
Macdougall, N.A.T.
Macdougall, Norman A.T.
Macdougall, Simone
Macdougall, Simone C.
Mac Eoin, G.S.
Macfarlane, A.
Macfarlane, Alan D.J.
Macfarlane, L.J.
MacFarlane, S.N.
MacGregor, Arthur G.
Macgregor, Martin D.W.
MacGregor, Martin D.W.
MacGregor, Susanne
Machin, G. Ian T.
Machin, G.I.T.
Macinnes, A.I.
Macinnes, Allan I
Macinnes, Allan I.
Macintyre, A.D.
MacIntyre, A.D.
MacIver, Kathleen M.
Mackay, A.I.K.
Mackay, D.
Mackay, R.F.
Mackenney, Richard S.
MacKenzie, D.A.
MacKenzie, G.G.N.
Mackenzie, J.
MacKenzie, J.M.
MacKenzie, John M.
Mackerness, E.
Mackerness, E.D.
Mackesy, P.G.
Mackie, Robin
MacKillop, Andrew
Mackridge, Peter A.
Mack Smith, D.
Maclean, Ian W.F.
Maclean, J.N.M.
MacLean, M.
MacLean, Simon J.
Macleod, Christine
MacLeod, D.J.
Macleod, Emma V.
Macleod, Emma Vincent
Macleod, R.
MacLeod, R.
MacMillan, Margaret O.
MacMullen, Ian J.
Macnicol, J.S.
Macola, Giacomo
MacPherson, A.
MacRae, D.G.
MacRaild, Don
MacRaild, Donald
MacRaild, Donald M.
Macrides, Ruth J.
Madden, A.F.
Maddicott, John
Maddicott, John R. L.
Maddicott, John R.L.
Maddicott, J.R.L.
Maddison, F.R.
Madelung, Wilferd F.
Madelung, Wilfred W.F.
Magdalino, P.
Magdalino, Paul
Magraw, R.W.
Maguire, Martin
Maguire, Patrick J.
Maguire, Patrick J. (Paddy)
Mahone, Sloan
Mahone, Sloan C.
Mahony, M.P.
Mailk, I.H.
Maiolo, Joseph
Ma, John
Major, Andrea
Major, John S.H.
Major, J.S.H.
Major, Patrick
Makin, Stephen A.R.
Malcolm, E.
Malcolm, Elizabeth
Malek, J.
Malkiewicz, Andrej J.A.
Mallet, Ann
Mallett, M.E.
Mallett, Michael E.
Malone, Caroline
Malvern, Susan B.
Mancini, JoAnne
Mandelbrote, Scott H.
Mandlebrote, Scott H.
Mandler, Peter
Mango, C.
Mango, Cyril
Mango, Marlia
Manley, John
Mann, Alistair J.
Mann, C. Nicholas J.
Mannherz, Julia
Manning, B.S.
Manning, D.J.
Mann, J. C.
Mann, J.C.
Mann, J.M.
Mann, M.
Mannsaker, F.M.
Manor, James
Mansell, A.L.
Mansergh, P.N.S.
Mansfield, Nick
Mapstone, Sally
Mapstone, Sally L.
March, L.J.
Marcombe, David
Marcus, Laura
Marcus, R.A.
Marfany, Julie
Margaret Spufford
Mark, James
Marks, Richard
Marks, Shula
Markus, R. A.
Markwell, D.J.
Marland, Hilary
Marland, M. Hilary
Marnette, Sophie
Marriott, S.
Marrison, A.J.
Marrison, Andrew J.
Marritt, Stephen
Marsden, E. W.
Marsden, W.E.
Marsden, William E.
Marsh, A.I.
Marshall, Alan
Marshall, Dorothy
Marshall, G.
Marshall, J.D.
Marshall, Peter
Marshall, Peter J.
Marshall, P.J.
Marsh, Ben J.
Martell, A. Luke
Martin, C.J.M.
Martin, Colin J.M.
Martin, D.
Martin, D.A.
Martindale, A.H.R.
Martindale, Jane P.
Martin, David
Martin, David E.
Martin, D.E.
Martin, G.
Martin, Geoffrey H.
Martin, G.H.
Martin, G.W.
Martin, Jane
Martin, John
Martin, L.W.
Martin, Moira
Martin, R.
Martin, R.L.
Martins, Herminio Gomez
Martins, H.G.
Martin, Susan M.
Martin, Vanessa
Martin, Vanessa A.
Martin, Vanessa M.
Martland, S. Peter
Marwick, A.J.B.
Mason, A.
Mason, A.F.
Mason, Alistair F.
Mason, E. Emma
Mason, E.  Emma
Mason, J.F.A.
Mason, Keith
Mason, R.
Mason, R.A.
Mason, Roger
Mason, Roger A.
Mason, S.F.
Mason, Tony
Mason, T.W.
Massing, Jean Michel
Massing, J.M.
Mass, J.
Masterman, N.C.
Mather, F.C.
Mather, Paul
Matheson, P.C.
Matheson, W.
Mathew, A.G.
Mathias, P.
Mathieson, Margaret
Matless, D.
Matless, David
Matless, David S.
Matless, D.S.
Matthew, D.J.A.
